Population,Total_Wealth,Avg_Skill,Births,Deaths,Births_Cumul,Deaths_Cumul,Healer_Count,Toolmaker_Count,Trader_Count,Successful_Healings,Tools_Produced,Trades_Executed,Wealth_Traded
53,415.15,0.5,3,0,3,0,10,10,10,0,2,12,5.85
54,420.745475,0.5,4,3,7,3,10,10,10,0,2,8,3.7235250000000004
55,425.873149875,0.5,2,1,9,4,10,10,10,0,1,16,4.979320125
57,435.9811661125,0.5,5,3,14,7,10,10,10,0,0,16,4.2126332625
56,431.12864312537374,0.5,2,3,16,10,10,10,10,0,0,14,5.75160350207625
59,447.82859137514765,0.5016949152542373,4,1,20,11,10,10,10,0,3,14,3.897981741181126
60,455.9764628552101,0.5016666666666667,3,2,23,13,10,10,10,2,0,20,7.521987722437502
65,484.3569395414526,0.5046153846153846,5,0,28,13,10,10,10,0,4,18,7.0385907634575
67,496.09854034388223,0.5044776119402985,2,0,30,13,10,10,10,0,0,14,4.9822500000000005
69,509.39435833423227,0.5043478260869565,3,1,33,14,10,10,10,0,1,18,7.63690162365
75,543.3542845260189,0.5079999999999999,7,1,40,15,10,10,10,0,4,16,6.237121479680324
75,549.6955014952101,0.5093333333333333,2,2,42,17,10,10,10,2,3,18,5.507461798459042
76,561.1050544466691,0.5105263157894736,2,1,44,18,10,10,10,2,2,16,4.272565106898927
78,576.0093231022942,0.5102564102564102,2,0,46,18,10,10,10,0,1,16,4.0664775693749995
80,592.5299231022941,0.51125,2,0,48,18,10,10,10,0,3,16,4.7034
80,601.1140381022941,0.51375,3,3,51,21,10,10,10,0,2,18,5.230485000000002
83,623.2856384451549,0.5132530120481927,3,0,54,21,10,10,10,2,0,16,5.692527750000001
84,632.4559514227836,0.5136904761904761,4,3,58,24,10,10,10,0,2,18,7.089200625
84,643.4818015790452,0.5160714285714286,1,1,59,25,10,10,10,0,2,20,7.896988070177823
83,643.2963773047388,0.5150602409638554,0,1,59,26,10,10,10,0,2,20,8.620294312500002
84,651.3198444184984,0.5172619047619048,2,1,61,27,10,10,10,0,3,20,5.697929078390824
85,667.4403949512657,0.5194117647058822,3,2,64,29,10,10,10,0,3,20,6.2614707779272045
85,681.4379578344102,0.5211764705882352,2,2,66,31,10,10,10,0,5,20,8.504452442634575
86,691.1527765229379,0.5215116279069767,5,4,71,35,10,10,10,2,1,18,5.154044798371116
86,689.130576558089,0.5180232558139534,2,2,73,37,10,10,10,0,0,20,6.885856761410057
91,719.7680245516439,0.5175824175824175,5,0,78,37,10,10,10,0,1,20,8.88527286466855
93,736.1300573590454,0.5172043010752687,3,1,81,38,10,10,10,0,1,20,5.8518920308975435
93,719.7997484662524,0.5193548387096775,3,3,84,41,10,10,10,0,6,20,7.099440300462888
96,743.5126334205593,0.5221354166666666,4,1,88,42,10,10,10,0,3,20,10.143238507378442
99,773.3931262351762,0.5244949494949495,5,2,93,44,10,10,10,0,5,20,7.7717426353785
102,805.8049754166108,0.5262254901960783,3,0,96,44,10,10,10,0,2,20,10.21211807594848
100,814.9260370128234,0.5297499999999999,1,3,97,47,10,10,10,0,3,18,12.162890264529207
105,854.8486379811194,0.5285714285714285,5,0,102,47,10,10,10,4,0,20,11.650545864750008
101,838.9611808983241,0.5282178217821781,1,5,103,52,10,10,10,0,0,20,10.01519313647374
101,853.6460859979221,0.5284653465346534,3,3,106,55,10,10,10,0,0,18,7.8850660315291705
102,872.7380763363406,0.5301470588235294,3,2,109,57,10,10,10,0,3,16,6.964053989666455
98,869.8471879277892,0.5313775510204081,1,5,110,62,10,10,10,2,4,18,8.022733745249813
98,880.3222322624913,0.5326530612244897,2,2,112,64,10,10,10,0,2,20,7.497274792211191
102,923.262350467217,0.5389705882352941,6,2,118,66,10,10,10,2,4,18,5.468127912031367
105,954.3708631837341,0.540952380952381,6,3,124,69,10,10,10,0,0,20,8.805094935327194
106,983.6763451431686,0.5417452830188679,3,2,127,71,10,10,10,0,1,20,8.95036456700332
109,1007.4500678095736,0.5415137614678899,6,3,133,74,10,10,10,0,1,20,6.15861834774468
110,1038.659238471336,0.5418181818181818,2,1,135,75,10,10,10,4,0,20,7.5644303880439026
111,1063.1198272916965,0.5432432432432432,4,3,139,78,10,10,10,0,4,18,8.015954362629687
113,1088.6301207520225,0.5438053097345134,3,1,142,79,10,10,10,0,2,16,6.769078113442611
118,1119.5463495580996,0.5457627118644068,6,1,148,80,10,10,10,2,2,18,4.347855635941469
120,1146.9099587846379,0.546875,3,1,151,81,10,10,10,2,3,18,8.506875635349562
125,1201.4046296981485,0.5468000000000001,7,2,158,83,10,10,10,2,1,18,15.641821907455693
130,1251.1940002712413,0.5467307692307691,5,0,163,83,10,10,10,0,0,18,13.957083932741748
132,1289.4705837370732,0.5467803030303031,3,1,166,84,10,10,10,0,2,18,4.940222624539206
