Population,Total_Wealth,Avg_Skill,Births,Deaths,Healer_Count,Toolmaker_Count,Trader_Count,Successful_Healings,Tools_Produced,Trades_Executed,Wealth_Traded
50,500.145,0.5,0,0,10,10,10,0,0,10,5.655
50,600.2922,0.5,0,0,10,10,10,0,0,12,5.7408
50,700.471275625,0.5,0,0,10,10,10,0,0,12,6.983949375000002
49,787.580888125,0.5,0,3,10,10,10,0,0,10,4.2748875
49,885.774976,0.5,0,0,10,10,10,0,0,10,7.569427125000001
49,983.9067468875,0.5,0,0,10,10,10,0,0,10,5.1390646125
47,1044.3007597875,0.5,0,6,10,10,10,0,0,14,15.3665031
47,1138.7256445225,0.5,0,0,10,10,10,0,0,14,16.570504665
44,1164.054933791875,0.5,0,9,10,10,10,0,0,14,12.842281505625
43,1230.8759229343125,0.5,2,3,10,10,10,6,10,12,8.6185765550625
43,1319.6915598021626,0.5046511627906977,0,0,10,10,10,0,2,8,8.409837846150001
39,1293.9785562243776,0.5025641025641026,0,12,10,10,10,0,0,12,8.267860466384999
37,1312.5066566176586,0.5054054054054054,0,6,10,10,10,0,1,14,12.795915337958998
34,1293.0002010661585,0.5029411764705882,0,9,10,10,10,0,0,12,16.545533491500002
32,1291.8740630348086,0.503125,0,6,10,10,10,0,0,12,10.68061677735
32,1356.73129833717,0.503125,0,0,10,10,10,0,0,12,10.03217679210435
31,1382.7301415005347,0.5032258064516129,0,3,10,10,10,0,0,14,15.554883371214917
31,1446.1756013477311,0.5032258064516129,4,0,10,10,10,2,10,8,13.472934040664926
30,1466.1452643975183,0.5033333333333333,0,3,10,10,10,0,0,12,14.416858941703062
30,1527.1073839099588,0.5033333333333333,5,0,10,10,10,0,10,12,14.122660985177717
30,1588.059725024803,0.5033333333333333,0,0,10,10,10,0,0,12,13.741303478917498
30,1647.0706431257358,0.5033333333333333,0,0,10,10,10,0,0,14,14.820993799247816
30,1709.633192505064,0.5066666666666666,0,0,10,10,10,0,1,14,14.139425793798171
30,1771.6898547287014,0.5066666666666666,6,0,10,10,10,2,10,14,13.909826721858941
30,1833.246161824475,0.5066666666666666,0,0,10,10,10,0,0,14,13.895976735173045
29,1875.5127783060557,0.506896551724138,4,3,10,10,10,2,10,14,19.776261329210598
29,1934.350006523933,0.506896551724138,0,0,10,10,10,0,0,18,7.485924325147827
28,1926.4848204446316,0.5071428571428571,0,3,10,10,10,0,0,14,7.171307692983973
28,1986.0596277567295,0.5107142857142858,3,0,10,10,10,2,11,14,10.717485171814682
26,1957.7656894915935,0.5153846153846154,0,6,10,10,10,0,1,16,10.496705588636765
25,1947.733758282758,0.52,0,3,10,10,10,0,1,20,16.12065902748316
24,1933.506422870126,0.525,0,3,10,10,10,0,1,18,6.733918907351795
21,1787.046989890493,0.5238095238095238,3,9,10,10,10,0,10,20,2.8184137943132357
20,1759.2453659127552,0.525,0,3,10,10,10,0,0,20,7.736664868229683
18,1652.866108646809,0.5277777777777778,0,6,10,10,10,0,0,20,6.767916294606402
18,1692.0834248485933,0.5277777777777778,0,0,10,10,10,0,0,20,8.475331869582174
18,1731.9626356229116,0.5333333333333333,0,0,10,10,10,0,1,20,6.96601006892801
16,1612.242824487505,0.5375,0,6,10,10,10,0,0,20,7.027365719137883
14,1481.9017844307486,0.5428571428571428,0,6,10,10,10,0,0,20,2.2994377865
14,1513.667059658515,0.5428571428571428,0,0,10,10,10,0,0,20,6.445733882885475
14,1547.0324456672222,0.55,1,0,10,10,10,0,11,20,6.450054339587592
14,1580.9886576075546,0.5571428571428572,0,0,10,10,10,0,1,20,6.092265672958524
14,1613.9401359871638,0.5571428571428572,0,0,10,10,10,0,0,20,5.907656804764181
14,1647.2759047650436,0.5571428571428572,0,0,10,10,10,0,0,20,20.89498233730716
13,1583.1317285373261,0.5692307692307692,0,3,10,10,10,0,11,20,7.162714333026756
13,1613.2976096665843,0.5692307692307692,0,0,10,10,10,0,0,20,6.469364041069075
13,1644.864592929471,0.5692307692307692,0,0,10,10,10,0,0,20,6.512347252583112
13,1676.3376687139735,0.5692307692307692,0,0,10,10,10,0,0,18,2.849955595596511
13,1706.617808408469,0.5692307692307692,0,0,10,10,10,0,0,14,6.416191615578902
11,1533.7704307185304,0.5,0,6,10,10,10,0,0,14,11.325794011007774
