Population,Total_Wealth,Avg_Skill,Births,Deaths,Births_Cumul,Deaths_Cumul,Healer_Count,Toolmaker_Count,Trader_Count,Successful_Healings,Tools_Produced,Trades_Executed,Wealth_Traded
53,460.0,0.5,3,0,3,0,10,10,10,0,2,12,5.85
54,507.8,0.5,4,3,7,3,10,10,10,0,2,8,4.0652625
55,558.7,0.5,2,1,9,4,10,10,10,0,1,16,6.2019262500000005
57,609.2,0.5,5,3,14,7,10,10,10,0,0,16,5.464899253125
56,642.0000000000001,0.5,2,3,16,10,10,10,10,0,0,14,7.273232375293828
59,703.2,0.5016949152542373,4,1,20,11,10,10,10,0,3,14,6.2846416045941345
60,753.2945000000001,0.5016666666666667,3,2,23,13,10,10,10,2,0,20,14.233909694671878
65,832.8945000000001,0.5046153846153846,5,0,28,13,10,10,10,0,4,18,14.52960755823282
67,902.2014254012149,0.5044776119402985,2,0,30,13,10,10,10,0,0,14,9.739235610000003
69,965.661425401215,0.5043478260869565,3,1,33,14,10,10,10,0,1,18,16.0266561
75,1055.061425401215,0.5079999999999999,7,1,40,15,10,10,10,0,4,16,15.082430415000003
75,1104.241425401215,0.5093333333333333,2,2,42,17,10,10,10,2,3,18,13.433901896259918
76,1167.941425401215,0.5105263157894736,2,1,44,18,10,10,10,2,2,16,9.439244816292236
78,1248.7414254012149,0.5102564102564102,2,0,46,18,10,10,10,0,1,16,10.853626875000002
80,1331.641425401215,0.51125,2,0,48,18,10,10,10,0,3,16,9.119711250000002
80,1371.0114254012149,0.51375,3,3,51,21,10,10,10,0,2,18,12.844611780000003
83,1461.7742444476453,0.5132530120481927,3,0,54,21,10,10,10,2,0,16,10.696575552
84,1497.9285137489596,0.5136904761904761,4,3,58,24,10,10,10,0,2,18,17.440081815000003
84,1566.320332090293,0.5160714285714286,1,1,59,25,10,10,10,0,2,20,19.10379019758891
83,1627.4322833593899,0.5150602409638554,0,1,59,26,10,10,10,0,2,20,20.3107619325
84,1701.2709665434697,0.5172619047619048,2,1,61,27,10,10,10,0,3,20,13.708075033570413
85,1774.3069665434698,0.5194117647058822,3,2,64,29,10,10,10,0,3,20,22.523169157168617
85,1831.0788850434697,0.5211764705882352,2,2,66,31,10,10,10,0,5,20,19.167968139616438
86,1840.9402168903184,0.5215116279069767,5,4,71,35,10,10,10,2,1,18,9.98562144876499
86,1890.7053236930042,0.5180232558139534,2,2,73,37,10,10,10,0,0,20,20.78396488202716
91,1995.8101339351063,0.5175824175824175,5,0,78,37,10,10,10,0,1,20,21.421368234008447
93,2066.5161260820005,0.5172043010752687,3,1,81,38,10,10,10,0,1,20,16.73955399696332
93,2088.284953170213,0.5193548387096775,3,3,84,41,10,10,10,0,6,20,17.976841436990213
96,2183.4113541280412,0.5221354166666666,4,1,88,42,10,10,10,0,3,20,22.82466844861212
99,2261.937836074146,0.5244949494949495,5,2,93,44,10,10,10,0,5,20,21.3590373959984
102,2373.612836074146,0.5262254901960783,3,0,96,44,10,10,10,0,2,20,17.73636528821065
100,2384.9716584093917,0.5297499999999999,1,3,97,47,10,10,10,0,3,18,28.235423516174873
105,2507.701537928639,0.5285714285714285,5,0,102,47,10,10,10,4,0,20,24.62697192461094
101,2489.123409475235,0.5282178217821781,1,5,103,52,10,10,10,0,0,20,29.186620332254915
102,2533.407043592642,0.5281862745098038,3,2,106,54,10,10,10,0,0,18,28.423010096765235
101,2601.809487999794,0.5294554455445544,0,1,106,55,10,10,10,2,3,20,15.581735261707376
101,2587.941523762103,0.5294554455445544,4,4,110,59,10,10,10,0,3,20,37.650368954212006
101,2644.9141621168806,0.5272277227722771,2,2,112,61,10,10,10,0,1,20,31.788959263860768
105,2721.5177960896317,0.53,5,1,117,62,10,10,10,0,4,20,34.876648357000484
107,2800.2295759595154,0.5336448598130842,3,1,120,63,10,10,10,4,5,20,33.859239977649466
111,2861.044251737339,0.5337837837837838,6,2,126,65,10,10,10,0,1,20,31.52129731755772
109,2881.4717280030754,0.5373853211009174,1,3,127,68,10,10,10,0,3,20,32.1066764044495
111,2965.151991773164,0.5380630630630631,3,1,130,69,10,10,10,2,2,20,33.79403004524515
114,3040.657057023732,0.5416666666666666,5,2,135,71,10,10,10,0,2,20,42.00470510828482
119,3141.9560643121895,0.5436974789915966,6,1,141,72,10,10,10,0,4,20,32.58370235074496
127,3303.358200862333,0.5433070866141732,8,0,149,72,10,10,10,2,2,20,30.86065688234609
130,3434.8243675905555,0.544423076923077,4,1,153,73,10,10,10,0,2,20,30.885204032386667
133,3534.084593185084,0.5455827067669173,5,2,158,75,10,10,10,0,0,20,20.371312338736082
137,3676.5237089011257,0.5456204379562044,6,2,164,77,10,10,10,0,2,18,33.53116608403287
140,3796.738016677741,0.5476785714285715,5,2,169,79,10,10,10,2,3,20,31.28838582299177
