Population,Total_Wealth,Avg_Skill,Births,Deaths,Births_Cumul,Deaths_Cumul,Healer_Count,Toolmaker_Count,Trader_Count,Successful_Healings,Tools_Produced,Trades_Executed,Wealth_Traded
53,465.15,0.5,3,0,3,0,10,10,10,0,2,12,5.85
54,517.755475,0.5,4,3,7,3,10,10,10,0,2,8,4.113525
55,573.918149875,0.5,2,1,9,4,10,10,10,0,1,16,6.344320125
57,629.0625411125,0.5,5,3,14,7,10,10,10,0,0,16,5.631258262500001
56,666.2551286253738,0.5,2,3,16,10,10,10,10,0,0,14,7.510913002076251
59,734.0238452793226,0.5016949152542373,4,1,20,11,10,10,10,0,3,14,6.579949504006125
60,789.5182852531351,0.5016666666666667,3,2,23,13,10,10,10,2,0,20,14.993158978687502
65,878.1124303464601,0.5046153846153846,5,0,28,13,10,10,10,0,4,18,15.371658639674997
67,954.9951848738898,0.5044776119402985,2,0,30,13,10,10,10,0,0,14,10.487245275000001
69,1025.9313108738897,0.5043478260869565,3,1,33,14,10,10,10,0,1,18,17.008914
75,1125.1439497738897,0.5079999999999999,7,1,40,15,10,10,10,0,4,16,16.0929171
75,1182.9125671138231,0.5093333333333333,2,2,42,17,10,10,10,2,3,18,14.37607625739675
76,1256.4793111865724,0.5105263157894736,2,1,44,18,10,10,10,2,2,16,10.403018837223968
78,1347.5870776865725,0.5102564102564102,2,0,46,18,10,10,10,0,1,16,12.0028935
80,1442.2490126865723,0.51125,2,0,48,18,10,10,10,0,3,16,10.215465000000002
80,1489.9055217365724,0.51375,3,3,51,21,10,10,10,0,2,18,13.903852950000003
83,1592.237142474433,0.5132530120481927,3,0,54,21,10,10,10,2,0,16,11.933323155
84,1633.618224602062,0.5136904761904761,4,3,58,24,10,10,10,0,2,18,19.209197475000003
84,1715.2175584458234,0.5160714285714286,1,1,59,25,10,10,10,0,2,20,21.429039882677824
83,1785.582697109017,0.5150602409638554,0,1,59,26,10,10,10,0,2,20,22.264948875000005
84,1869.8372784227765,0.5172619047619048,2,1,61,27,10,10,10,0,3,20,14.711382878390827
85,1956.213229158029,0.5194117647058822,3,2,64,29,10,10,10,0,3,20,24.412078674837247
85,2025.5679459139374,0.5211764705882352,2,2,66,31,10,10,10,0,5,20,21.99626348043287
86,2037.7347503440294,0.5215116279069767,5,4,71,35,10,10,10,2,1,18,11.081488719384573
86,2090.9778141682254,0.5180232558139534,2,2,73,37,10,10,10,0,0,20,22.687634534154313
91,2207.9897225441896,0.5175824175824175,5,0,78,37,10,10,10,0,1,20,23.48922777862496
93,2288.6770368335583,0.5172043010752687,3,1,81,38,10,10,10,0,1,20,18.53786982762204
93,2306.7352597695017,0.5193548387096775,3,3,84,41,10,10,10,0,6,20,20.302181621196315
96,2416.8443482947955,0.5221354166666666,4,1,88,42,10,10,10,0,3,20,25.595177775858538
99,2509.4211315359425,0.5244949494949495,5,2,93,44,10,10,10,0,5,20,23.908526808556587
102,2641.136514905564,0.5262254901960783,3,0,96,44,10,10,10,0,2,20,22.04995141525451
100,2664.498613066425,0.5297499999999999,1,3,97,47,10,10,10,0,3,18,32.933686124423176
105,2804.721283323536,0.5285714285714285,5,0,102,47,10,10,10,4,0,20,29.753537526037736
101,2788.3765736020587,0.5282178217821781,1,5,103,52,10,10,10,0,0,20,34.69234022786932
102,2841.8839234268507,0.5281862745098038,3,2,106,54,10,10,10,0,0,18,32.147762009179
101,2924.3984380954794,0.5294554455445544,0,1,106,55,10,10,10,2,3,20,17.983908318644758
101,2907.1919467083767,0.5294554455445544,4,4,110,59,10,10,10,0,3,20,43.51477112888692
101,2971.6406661938763,0.5272277227722771,2,2,112,61,10,10,10,0,1,20,36.65510300181803
105,3057.770837956922,0.53,5,1,117,62,10,10,10,0,4,20,39.89324888417679
107,3156.2310949592525,0.5336448598130842,3,1,120,63,10,10,10,4,5,20,40.43119323995717
111,3228.2510758366716,0.5337837837837838,6,2,126,65,10,10,10,0,1,20,38.634543549120345
109,3259.4747105298525,0.5373853211009174,1,3,127,68,10,10,10,0,3,20,37.80029610660356
111,3356.373131749733,0.5380630630630631,3,1,130,69,10,10,10,2,2,20,40.03879150845262
114,3447.2443222869847,0.5416666666666666,5,2,135,71,10,10,10,0,2,20,46.84134140852493
119,3566.5681191226763,0.5436974789915966,6,1,141,72,10,10,10,0,4,20,36.88550809226605
127,3754.581469878277,0.5433070866141732,8,0,149,72,10,10,10,2,2,20,35.45402855720513
130,3911.7987945982927,0.544423076923077,4,1,153,73,10,10,10,0,2,20,34.514659279248015
133,4029.5447178113614,0.5455827067669173,5,2,158,75,10,10,10,0,0,20,24.393408936447916
137,4199.016091447884,0.5456204379562044,6,2,164,77,10,10,10,0,2,18,38.73254597311613
140,4338.0658333395795,0.5476785714285715,5,2,169,79,10,10,10,2,3,20,35.92392720013087
