Population,Total_Wealth,Avg_Skill,Births,Deaths,Births_Cumul,Deaths_Cumul,Healer_Count,Toolmaker_Count,Trader_Count,Successful_Healings,Tools_Produced,Trades_Executed,Wealth_Traded
53,515.15,0.5,3,0,3,0,10,10,10,0,2,12,5.85
54,614.765475,0.5,4,3,7,3,10,10,10,0,2,8,4.503525000000001
55,721.963149875,0.5,2,1,9,4,10,10,10,0,1,16,7.7093201250000005
57,822.1439161125,0.5,5,3,14,7,10,10,10,0,0,16,7.0498832625
56,901.3816141253737,0.5,2,3,16,10,10,10,10,0,0,14,9.270222502076251
59,1020.2216857793227,0.5016949152542373,4,1,20,11,10,10,10,0,3,14,9.362794504006125
60,1123.065445253135,0.5016666666666667,3,2,23,13,10,10,10,2,0,20,22.571619478687506
65,1271.8750613439602,0.5046153846153846,5,0,28,13,10,10,10,0,4,18,23.775027542175003
67,1413.8996132213897,0.5044776119402985,2,0,30,13,10,10,10,0,0,14,16.017341925
69,1542.4876002213898,0.5043478260869565,3,1,33,14,10,10,10,0,1,18,26.831493
75,1706.9593382713897,0.5079999999999999,7,1,40,15,10,10,10,0,4,16,26.19778395
75,1816.155861441298,0.5093333333333333,2,2,42,17,10,10,10,2,3,18,23.264403626421746
76,1951.879824206597,0.5105263157894736,2,1,44,18,10,10,10,2,2,16,16.534547846664218
78,2119.194282981597,0.5102564102564102,2,0,46,18,10,10,10,0,1,16,20.063892225000007
80,2292.000005481597,0.51125,2,0,48,18,10,10,10,0,3,16,15.823177499999996
80,2376.695648976597,0.51375,3,3,51,21,10,10,10,0,2,18,23.230096304999996
83,2559.208602484458,0.5132530120481927,3,0,54,21,10,10,10,2,0,16,19.005301184999997
84,2632.8401765745866,0.5136904761904761,4,3,58,24,10,10,10,0,2,18,32.87838401249999
84,2786.646502005848,0.5160714285714286,1,1,59,25,10,10,10,0,2,20,35.09076669517782
83,2926.1270811690415,0.5150602409638554,0,1,59,26,10,10,10,0,2,20,38.576328375
84,3086.6204695415513,0.5172619047619048,2,1,61,27,10,10,10,0,3,20,24.024858169640822
85,3242.8437551180537,0.5194117647058822,3,2,64,29,10,10,10,0,3,20,44.19813748358724
85,3366.962994135462,0.5211764705882352,2,2,66,31,10,10,10,0,5,20,36.68394667893288
86,3381.583141556304,0.5215116279069767,5,4,71,35,10,10,10,2,1,18,17.061865358634577
86,3486.7792302524176,0.5180232558139534,2,2,73,37,10,10,10,0,0,20,39.8419745389439
91,3690.2194724486903,0.5175824175824175,5,0,78,37,10,10,10,0,1,20,40.194246770666204
93,3835.194234496956,0.5172043010752687,3,1,81,38,10,10,10,0,1,20,29.74833242460624
93,3888.5823659127313,0.5193548387096775,3,3,84,41,10,10,10,0,6,20,33.16861233461991
96,4085.1225133720895,0.5221354166666666,4,1,88,42,10,10,10,0,3,20,42.40647620439464
99,4239.699569751235,0.5244949494949495,5,2,93,44,10,10,10,0,5,20,41.15597019048869
102,4470.688453393717,0.5262254901960783,3,0,96,44,10,10,10,0,2,20,32.71646205681348
100,4508.406225647299,0.5297499999999999,1,3,97,47,10,10,10,0,3,18,46.8049757405278
105,4748.938913387137,0.5285714285714285,5,0,102,47,10,10,10,4,0,20,41.844219352419856
101,4731.917151460878,0.5282178217821781,1,5,103,52,10,10,10,0,0,20,50.79730424135656
102,4822.401036172777,0.5281862745098038,3,2,106,54,10,10,10,0,0,18,52.452522606373336
101,4977.7128727760055,0.5294554455445544,0,1,106,55,10,10,10,2,3,20,25.074963768044746
101,4939.792695893009,0.5294554455445544,4,4,110,59,10,10,10,0,3,20,65.1247518305664
101,5056.243339913849,0.5272277227722771,2,2,112,61,10,10,10,0,1,20,56.76097718008498
105,5204.880791384777,0.53,5,1,117,62,10,10,10,0,4,20,59.67715749156348
107,5368.68372175693,0.5336448598130842,3,1,120,63,10,10,10,4,5,20,53.79545466304281
111,5478.0312594246325,0.5337837837837838,6,2,126,65,10,10,10,0,1,20,51.40925837015049
109,5526.552725701897,0.5373853211009174,1,3,127,68,10,10,10,0,3,20,57.735679336589314
111,5698.323769934586,0.5380630630630631,3,1,130,69,10,10,10,2,2,20,56.95164900801554
114,5842.590540748222,0.5416666666666666,5,2,135,71,10,10,10,0,2,20,54.4689721875
119,6031.614713970339,0.5436974789915966,6,1,141,72,10,10,10,0,4,20,60.30018716283854
127,6339.184636417551,0.5433070866141732,8,0,149,72,10,10,10,2,2,20,57.1603245300666
130,6613.770037833804,0.544423076923077,4,1,153,73,10,10,10,0,2,20,48.86965043250682
133,6814.766540024853,0.5455827067669173,5,2,158,75,10,10,10,0,0,20,34.16598907770176
137,7107.798611935016,0.5456204379562044,6,2,164,77,10,10,10,0,2,18,60.59977864507973
140,7358.437459895204,0.5476785714285715,5,2,169,79,10,10,10,2,3,20,58.899063871295425
