Population,Total_Wealth,Avg_Skill,Births,Deaths,Births_Cumul,Deaths_Cumul,Healer_Count,Toolmaker_Count,Trader_Count,Successful_Healings,Tools_Produced,Trades_Executed,Wealth_Traded
53,415.0,0.5,3,0,3,0,10,10,10,0,2,12,5.85
54,420.5,0.5,4,3,7,3,10,10,10,0,2,8,3.7142625000000002
55,425.5,0.5,2,1,9,4,10,10,10,0,1,16,4.97342625
57,435.5,0.5,5,3,14,7,10,10,10,0,0,16,4.188136753125
56,430.5,0.5,2,3,16,10,10,10,10,0,0,14,5.691801875293828
59,445.8,0.5016949152542373,4,1,20,11,10,10,10,0,3,14,3.8792624903269455
60,453.455,0.5016666666666667,3,2,23,13,10,10,10,2,0,20,7.5196142415468765
65,479.055,0.5046153846153846,5,0,28,13,10,10,10,0,4,18,7.037064497159531
67,489.8619254012148,0.5044776119402985,2,0,30,13,10,10,10,0,0,14,4.78725
69,501.66192540121483,0.5043478260869565,3,1,33,14,10,10,10,0,1,18,7.613792806485937
75,532.5619254012148,0.5079999999999999,7,1,40,15,10,10,10,0,4,16,6.211055712150015
75,535.6619254012148,0.5093333333333333,2,2,42,17,10,10,10,2,3,18,5.476932270051178
76,543.5619254012148,0.5105263157894736,2,1,44,18,10,10,10,2,2,16,3.946077442602769
78,555.9619254012148,0.5102564102564102,2,0,46,18,10,10,10,0,1,16,3.8325793471875005
80,568.6619254012148,0.51125,2,0,48,18,10,10,10,0,3,16,4.270499999999999
80,573.1119254012148,0.51375,3,3,51,21,10,10,10,0,2,18,4.8068475
83,591.8747444476452,0.5132530120481927,3,0,54,21,10,10,10,2,0,16,4.9477252499999995
84,598.8890137489595,0.5136904761904761,4,3,58,24,10,10,10,0,2,18,6.3677006249999994
84,603.9781953902932,0.5160714285714286,1,1,59,25,10,10,10,0,2,20,7.10639594133891
83,602.24996665939,0.5150602409638554,0,1,59,26,10,10,10,0,2,20,7.398814312500002
84,607.6886498434699,0.5172619047619048,2,1,61,27,10,10,10,0,3,20,5.610156007945412
85,617.8686498434698,0.5194117647058822,3,2,64,29,10,10,10,0,3,20,5.935762857713603
85,625.0681498434699,0.5211764705882352,2,2,66,31,10,10,10,0,5,20,6.935663078539989
86,632.8594816903187,0.5215116279069767,5,4,71,35,10,10,10,2,1,18,4.504420570685988
86,634.3957664930044,0.5180232558139534,2,2,73,37,10,10,10,0,0,20,6.432532338701151
91,662.1005767351066,0.5175824175824175,5,0,78,37,10,10,10,0,1,20,7.917793415930661
93,675.206568882001,0.5172043010752687,3,1,81,38,10,10,10,0,1,20,5.595483911378854
93,666.4253959702139,0.5193548387096775,3,3,84,41,10,10,10,0,6,20,6.107515601020577
96,684.151796928042,0.5221354166666666,4,1,88,42,10,10,10,0,3,20,8.376731034256505
99,706.7600082841045,0.5244949494949495,5,2,93,44,10,10,10,0,5,20,6.951950142280856
102,729.3350082841046,0.5262254901960783,3,0,96,44,10,10,10,0,2,20,7.530417296465252
100,728.09383061935,0.5297499999999999,1,3,97,47,10,10,10,0,3,18,8.772172500000002
105,760.8237101385974,0.5285714285714285,5,0,102,47,10,10,10,4,0,20,8.431708496250003
101,743.2265816851937,0.5282178217821781,1,5,103,52,10,10,10,0,0,20,7.299538003184261
102,753.9304058026004,0.5281862745098038,3,2,106,54,10,10,10,0,0,18,6.813396140764585
101,756.1198502097524,0.5294554455445544,0,1,106,55,10,10,10,2,3,20,4.77868146985125
101,761.5146792509761,0.5294554455445544,4,4,110,59,10,10,10,0,3,20,11.536026961665188
100,765.4691497432517,0.5275,2,3,112,62,10,10,10,0,1,20,7.813584312094981
105,790.1453840038354,0.5280952380952381,7,2,119,64,10,10,10,2,1,20,10.956683402920897
111,830.0196108049607,0.5306306306306307,9,3,128,67,10,10,10,0,1,20,8.399657024330487
117,862.6630374379802,0.5305555555555556,7,1,135,68,10,10,10,0,2,20,9.596785323003008
119,879.4682769067465,0.5319327731092437,3,1,138,69,10,10,10,0,2,20,8.221426727179823
124,914.9509760640573,0.5324596774193547,6,1,144,70,10,10,10,2,1,18,7.444139555914548
125,919.2776144858292,0.5314,4,3,148,73,10,10,10,0,0,18,7.354090914562283
125,925.4447849301097,0.5328,3,3,151,76,10,10,10,2,2,18,5.675765499969989
131,963.1963110596996,0.5333969465648855,6,0,157,76,10,10,10,0,4,16,4.34016971402926
135,986.8235984884857,0.5343518518518519,6,2,163,78,10,10,10,0,1,20,6.695556407780089
140,1017.8776221644482,0.5344642857142857,5,0,168,78,10,10,10,2,3,20,8.241402541112372
141,1030.9367461977379,0.5358156028368795,5,4,173,82,10,10,10,0,3,20,6.689990091772033
145,1056.2123195839963,0.5365517241379311,4,0,177,82,10,10,10,0,4,20,7.805906877079931
