Population,Total_Wealth,Avg_Skill,Births,Deaths,Births_Cumul,Deaths_Cumul,Healer_Count,Toolmaker_Count,Trader_Count,Successful_Healings,Tools_Produced,Trades_Executed,Wealth_Traded
49,433.59886329674697,0.5,0,1,0,1,10,10,10,0,2,16,8.272875
51,482.03767506625394,0.5,2,0,2,1,10,10,10,2,1,12,5.616194999999999
51,521.7855719227396,0.5,0,0,2,1,10,10,10,0,1,16,8.45281125
52,563.8183926419725,0.5,1,0,3,1,10,10,10,0,1,20,6.474736652718751
52,605.9611418692674,0.5038461538461538,0,0,3,1,10,10,10,2,3,16,7.040313698071875
55,660.6349359927726,0.5054545454545454,3,0,6,1,10,10,10,0,3,14,7.584730883828153
56,708.4056186259653,0.5089285714285714,1,0,7,1,10,10,10,0,2,18,10.002797760094742
58,757.8232733791386,0.5112068965517241,3,1,10,2,10,10,10,0,4,16,8.414454351338076
57,782.464412118272,0.5114035087719299,1,2,11,4,10,10,10,0,1,16,6.158159224069528
57,813.0096651885046,0.5114035087719299,2,2,13,6,10,10,10,0,1,16,6.038831799678514
59,867.412324190417,0.514406779661017,2,0,15,6,10,10,10,0,1,18,9.483742663861058
62,917.4490144246904,0.5153225806451613,4,1,19,7,10,10,10,0,0,18,8.047280467414007
61,951.9782336831026,0.5172131147540984,1,2,20,9,10,10,10,0,1,16,9.575273631785103
58,943.8855272998121,0.518103448275862,1,4,21,13,10,10,10,0,1,18,13.474293874438306
60,999.8298741814008,0.5191666666666667,2,0,23,13,10,10,10,0,2,16,6.21587683666051
63,1059.3282135409797,0.5182539682539682,3,0,26,13,10,10,10,0,1,18,17.539563760727052
62,1079.7507032137778,0.5201612903225806,1,2,27,15,10,10,10,0,4,18,12.895002437268712
63,1135.5352691068351,0.5198412698412699,1,0,28,15,10,10,10,0,0,20,9.757671257562462
61,1149.904556234708,0.5204918032786886,1,3,29,18,10,10,10,0,0,20,16.149109601067966
61,1197.1241833901652,0.5221311475409837,0,0,29,18,10,10,10,0,3,20,18.601197682026942
60,1207.2680335645712,0.5225000000000001,1,2,30,20,10,10,10,0,1,20,19.009767818668916
61,1260.5081396970115,0.5221311475409837,1,0,31,20,10,10,10,0,1,16,7.6819881829298575
60,1285.7675358391139,0.5225000000000001,0,1,31,21,10,10,10,0,1,16,10.138171210624336
58,1285.46190842101,0.5198275862068965,0,2,31,23,10,10,10,0,0,14,16.614428207800444
59,1317.2585741667494,0.5203389830508475,2,1,33,24,10,10,10,0,1,12,6.633776278921484
56,1291.0694595599682,0.521875,1,4,34,28,10,10,10,0,0,14,11.17241341269703
56,1334.6133892282517,0.5236607142857143,0,0,34,28,10,10,10,0,2,18,11.689589757617764
56,1365.585684269559,0.5267857142857143,1,1,35,29,10,10,10,0,1,18,16.281417738339666
55,1380.078574821623,0.530909090909091,1,2,36,31,10,10,10,0,2,18,20.630572405346285
55,1424.2840670881308,0.5327272727272727,0,0,36,31,10,10,10,0,3,18,16.784349949662946
55,1456.1117664662786,0.5363636363636365,1,1,37,32,10,10,10,0,1,18,10.44079772469808
54,1447.3962149174379,0.5370370370370372,1,2,38,34,10,10,10,0,3,14,10.898041202793703
53,1401.7665529333701,0.5405660377358491,3,4,41,38,10,10,10,0,2,18,14.461569691120948
59,1477.5941190163421,0.5432203389830508,6,0,47,38,10,10,10,0,4,20,25.99337021742001
60,1510.5072345382641,0.5458333333333332,2,1,49,39,10,10,10,0,1,18,8.011194577074471
58,1482.1728199620238,0.5448275862068965,2,4,51,43,10,10,10,0,1,18,20.054551835482535
58,1530.7824581144625,0.5448275862068965,0,0,51,43,10,10,10,0,0,20,13.767639770965598
55,1500.4388212740575,0.5472727272727274,0,3,51,46,10,10,10,0,1,18,20.07377073613373
55,1522.8341128083284,0.550909090909091,1,1,52,47,10,10,10,0,2,18,23.184994996187513
57,1566.159970186646,0.5521929824561403,3,1,55,48,10,10,10,0,2,20,12.416619018114039
56,1562.0392056686596,0.5549107142857143,1,2,56,50,10,10,10,0,2,20,18.99334701508995
54,1551.8355611676773,0.5550925925925928,0,2,56,52,10,10,10,0,0,18,17.374692906333944
55,1573.3903938083756,0.555909090909091,2,1,58,53,10,10,10,2,3,20,12.04708948080536
54,1541.9400679455916,0.5564814814814816,1,2,59,55,10,10,10,0,1,20,8.279065252004035
52,1502.0638391966731,0.5567307692307693,1,3,60,58,10,10,10,0,0,20,6.685354892585668
53,1554.4853829551664,0.5566037735849058,1,0,61,58,10,10,10,0,0,20,14.657498816943349
52,1565.0197484319315,0.5576923076923077,0,1,61,59,10,10,10,2,0,20,20.014933980567914
51,1590.3085112592264,0.5568627450980393,0,1,61,60,10,10,10,0,1,20,15.720186272910567
52,1635.0188109293551,0.5596153846153847,1,0,62,60,10,10,10,2,1,20,12.874358691325247
52,1681.3826971808023,0.5596153846153847,0,0,62,60,10,10,10,0,1,20,10.136849948527084
