Population,Total_Wealth,Avg_Skill,Births,Deaths,Births_Cumul,Deaths_Cumul,Healer_Count,Toolmaker_Count,Trader_Count,Successful_Healings,Tools_Produced,Trades_Executed,Wealth_Traded
53,540.15,0.5,3,0,3,0,10,10,10,0,2,12,5.85
54,663.270475,0.5,4,3,7,3,10,10,10,0,2,8,4.698525
55,795.985649875,0.5,2,1,9,4,10,10,10,0,1,16,8.391820125
57,918.6846036125,0.5,5,3,14,7,10,10,10,0,0,16,7.7591957625
56,1018.9448568753737,0.5,2,3,16,10,10,10,10,0,0,14,10.149877252076251
59,1163.3206060293226,0.5016949152542373,4,1,20,11,10,10,10,0,3,14,10.754217004006124
60,1289.839025253135,0.5016666666666667,3,2,23,13,10,10,10,2,0,20,26.3608497286875
65,1468.75637684271,0.5046153846153846,5,0,28,13,10,10,10,0,4,18,27.976711993425
67,1643.3518273951397,0.5044776119402985,2,0,30,13,10,10,10,0,0,14,18.782390250000002
69,1800.7657448951397,0.5043478260869565,3,1,33,14,10,10,10,0,1,18,31.742782499999997
75,1997.8670325201397,0.5079999999999999,7,1,40,15,10,10,10,0,4,16,31.250217375000002
75,2132.7775494550356,0.5093333333333333,2,2,42,17,10,10,10,2,3,18,27.710160460934247
76,2299.5801215666093,0.5105263157894736,2,1,44,18,10,10,10,2,2,16,19.60031235138434
78,2504.9976481291096,0.5102564102564102,2,0,46,18,10,10,10,0,1,16,24.083535937500002
80,2716.8752643791095,0.51125,2,0,48,18,10,10,10,0,3,16,18.627033749999995
80,2820.8420309916096,0.51375,3,3,51,21,10,10,10,0,2,18,27.953897887500002
83,3043.44554875947,0.5132530120481927,3,0,54,21,10,10,10,2,0,16,22.537307324999997
84,3133.2056938308488,0.5136904761904761,4,3,58,24,10,10,10,0,2,18,39.84265228125
84,3322.4007654558604,0.5160714285714286,1,1,59,25,10,10,10,0,2,20,42.16245510142782
83,3496.577099869054,0.5150602409638554,0,1,59,26,10,10,10,0,2,20,46.49938312499999
84,3695.1905750109386,0.5172619047619048,2,1,61,27,10,10,10,0,3,20,28.708242175265827
85,3886.332803508066,0.5194117647058822,3,2,64,29,10,10,10,0,3,20,53.90691138796223
85,4037.834303656224,0.5211764705882352,2,2,66,31,10,10,10,0,5,20,44.027788278182875
86,4053.6812774164246,0.5215116279069767,5,4,71,35,10,10,10,2,1,18,20.05809259359974
86,4185.657360019976,0.5180232558139534,2,2,73,37,10,10,10,0,0,20,47.122451929049866
91,4432.258057714003,0.5175824175824175,5,0,78,37,10,10,10,0,1,20,46.45201118305677
93,4609.271199688715,0.5172043010752687,3,1,81,38,10,10,10,0,1,20,31.245149555982305
93,4680.214476098989,0.5193548387096775,3,3,84,41,10,10,10,0,6,20,35.31926712009306
96,4919.923688197274,0.5221354166666666,4,1,88,42,10,10,10,0,3,20,48.999997122524746
99,5104.608242193902,0.5244949494949495,5,2,93,44,10,10,10,0,5,20,46.79537009563455
102,5385.18608001335,0.5262254901960783,3,0,96,44,10,10,10,0,2,20,36.185674958461
100,5429.964052276663,0.5297499999999999,1,3,97,47,10,10,10,0,3,18,49.152776120069696
105,5720.608157048242,0.5285714285714285,5,0,102,47,10,10,10,4,0,20,46.189483590294415
101,5703.163597961722,0.5282178217821781,1,5,103,52,10,10,10,0,0,20,55.56321499122568
102,5812.055162179578,0.5281862745098038,3,2,106,54,10,10,10,0,0,18,59.46197333863448
101,6000.438168830132,0.5294554455445544,0,1,106,55,10,10,10,2,3,20,27.850595613750006
101,5949.176636649208,0.5294554455445544,4,4,110,59,10,10,10,0,3,20,70.94143290490364
101,6090.068696035225,0.5272277227722771,2,2,112,61,10,10,10,0,1,20,61.71457642198453
105,6269.894875253478,0.53,5,1,117,62,10,10,10,0,4,20,67.03753963723847
107,6466.261458575723,0.5336448598130842,3,1,120,63,10,10,10,4,5,20,56.27791971665032
111,6594.170995460634,0.5337837837837838,6,2,126,65,10,10,10,0,1,20,53.8272278412932
109,6645.565362788163,0.5373853211009174,1,3,127,68,10,10,10,0,3,20,62.810178422229924
111,6851.576477502287,0.5380630630630631,3,1,130,69,10,10,10,2,2,20,62.59147674051554
114,7022.352268834673,0.5416666666666666,5,2,135,71,10,10,10,0,2,20,54.82077241875
119,7245.993912392112,0.5436974789915966,6,1,141,72,10,10,10,0,4,20,64.88153024041685
127,7613.141978892814,0.5433070866141732,8,0,149,72,10,10,10,2,2,20,60.207942616184404
130,7946.322580193151,0.544423076923077,4,1,153,73,10,10,10,0,2,20,52.58244591175357
133,8188.8876378577625,0.5455827067669173,5,2,158,75,10,10,10,0,0,20,36.83965254663926
137,8543.587935023013,0.5456204379562044,6,2,164,77,10,10,10,0,2,18,67.16056359349224
140,8849.880643928233,0.5476785714285715,5,2,169,79,10,10,10,2,3,20,64.89964072760858
