Population,Total_Wealth,Avg_Skill,Births,Deaths,Births_Cumul,Deaths_Cumul,Healer_Count,Toolmaker_Count,Trader_Count,Successful_Healings,Tools_Produced,Trades_Executed,Wealth_Traded
51,393.68545245653684,0.5,1,0,1,0,10,10,10,0,2,16,6.883500000000001
50,378.78364849387566,0.502,2,3,3,3,10,10,10,0,3,12,5.693071312500001
56,397.0009631476391,0.5017857142857143,6,0,9,3,10,10,10,0,3,14,5.594084437500001
58,395.32837929900506,0.5043103448275862,2,0,11,3,10,10,10,0,2,14,5.869995508406251
59,387.81932796505674,0.5042372881355932,1,0,12,3,10,10,10,2,0,14,5.440064844751749
58,374.0886479757011,0.5077586206896553,1,2,13,5,10,10,10,0,3,16,5.945313367776317
60,372.2911703815206,0.5091666666666667,3,1,16,6,10,10,10,0,2,14,5.9978711910734255
61,366.7653437947235,0.509016393442623,2,1,18,7,10,10,10,0,0,18,6.545479308425041
62,360.49777321697013,0.510483870967742,1,0,19,7,10,10,10,0,2,16,4.1014954621875
62,348.70007502262973,0.5129032258064516,1,1,20,8,10,10,10,0,1,18,5.6037090939029435
62,338.2031574343231,0.5161290322580645,1,1,21,9,10,10,10,0,2,16,4.454125790336519
63,333.65758843293975,0.5174603174603174,2,1,23,10,10,10,10,0,3,18,4.66448897828972
62,319.23766463784006,0.5193548387096775,2,3,25,13,10,10,10,0,2,20,4.1132414169987825
62,311.31331327319,0.5209677419354838,1,1,26,14,10,10,10,2,1,20,3.95741539589337
65,311.2793967572594,0.5215384615384615,3,0,29,14,10,10,10,0,1,18,2.7441019228932997
64,300.54596551339534,0.525,0,1,29,15,10,10,10,0,3,20,1.2548212013137352
65,297.47799303667944,0.5230769230769231,3,2,32,17,10,10,10,0,1,16,1.7439356993234665
64,285.53911166409415,0.525,0,1,32,18,10,10,10,0,5,12,2.1806719191673456
63,290.106647768933,0.5238095238095238,3,4,35,22,10,10,10,0,1,14,1.974464430859729
60,283.0354963552182,0.525,0,3,35,25,10,10,10,0,2,16,1.2048162336409411
57,272.12681215295476,0.5263157894736842,0,3,35,28,10,10,10,0,0,12,2.245164533057489
56,272.5594916556141,0.5276785714285714,2,3,37,31,10,10,10,0,2,16,3.7322377560705315
55,273.3715588166726,0.530909090909091,1,2,38,33,10,10,10,0,1,16,3.7758020891444106
54,282.41264420654284,0.5324074074074074,3,4,41,37,10,10,10,0,1,16,2.947489767970313
52,285.8571410169254,0.5375,2,4,43,41,10,10,10,0,4,20,5.328496474154546
50,284.3156414416905,0.535,1,3,44,44,10,10,10,0,1,14,3.892752438950008
51,287.22736527546164,0.5352941176470588,2,1,46,45,10,10,10,0,1,16,2.4523445725248427
48,283.3675234411462,0.5354166666666667,0,3,46,48,10,10,10,0,1,18,5.637131803161454
48,279.771794878821,0.5375,0,0,46,48,10,10,10,0,3,20,5.356576219625149
49,286.4299610349071,0.5377551020408163,2,1,48,49,10,10,10,0,1,16,4.907537533139653
48,290.36671146659734,0.5385416666666667,1,2,49,51,10,10,10,0,1,18,8.837495608030112
48,301.9533878047058,0.5427083333333332,3,3,52,54,10,10,10,0,0,18,6.696920840496868
46,294.8830171542246,0.5434782608695652,0,2,52,56,10,10,10,0,3,16,5.143925518357118
44,298.58308817067467,0.5477272727272727,1,3,53,59,10,10,10,0,3,16,4.783868871820278
45,303.43849415303504,0.5444444444444444,2,1,55,60,10,10,10,0,3,16,5.590277269798004
44,301.4028318212858,0.5477272727272727,0,1,55,61,10,10,10,2,2,16,4.8885559702149255
40,298.2058774435835,0.55,0,4,55,65,10,10,10,0,0,14,1.5260638827887392
39,297.8316449192487,0.5487179487179488,1,2,56,67,10,10,10,0,1,20,5.1753618969039445
38,301.9806484641841,0.5546052631578947,1,2,57,69,10,10,10,0,1,20,5.478240111465132
38,301.5346168405703,0.5546052631578947,0,0,57,69,10,10,10,0,1,20,3.733287938172313
34,296.2911896312754,0.5558823529411764,2,6,59,75,10,10,10,0,2,20,5.673646860353747
31,283.0856978119953,0.5548387096774193,0,3,59,78,10,10,10,2,0,18,1.620437086002546
31,281.14493954483555,0.5548387096774193,0,0,59,78,10,10,10,0,2,18,2.8688519653668556
29,279.99872748605605,0.556896551724138,0,2,59,80,10,10,10,0,0,16,1.2904607720096228
28,283.5109582627043,0.5642857142857143,1,2,60,82,10,10,10,0,2,18,2.420532970365819
28,282.5954364210347,0.5642857142857143,0,0,60,82,10,10,10,0,0,18,3.7613239898320208
27,286.6739468595835,0.5694444444444444,1,2,61,84,10,10,10,2,0,18,4.135974078745955
26,287.2798941564528,0.5759615384615384,0,1,61,85,10,10,10,0,2,18,3.1252375748614254
23,288.78301356808834,0.5967391304347825,1,4,62,89,10,10,10,0,3,18,4.163411708875634
22,286.55048176797715,0.6011363636363636,0,1,62,90,10,10,10,0,1,20,5.185283901881577
