Population,Total_Wealth,Avg_Skill,Births,Deaths,Births_Cumul,Deaths_Cumul,Healer_Count,Toolmaker_Count,Trader_Count,Successful_Healings,Tools_Produced,Trades_Executed,Wealth_Traded
53,315.0,0.5,3,0,3,0,10,10,10,0,2,12,5.85
54,226.5,0.5,4,3,7,3,10,10,10,0,2,8,3.2267624999999995
54,176.95,0.5,2,2,9,5,10,10,10,0,1,14,2.4384262500000005
57,186.46597500000001,0.5,5,2,14,7,10,10,10,0,2,14,3.6551623996875
57,192.73820600625,0.5,5,5,19,12,10,10,10,0,0,12,2.4901268084062504
62,199.15723403098687,0.5016129032258064,6,1,25,13,10,10,10,0,3,16,3.3740158232253292
61,173.27710903098685,0.5016393442622951,0,1,25,14,10,10,10,0,2,16,4.70277815801112
60,166.80517923943148,0.5016666666666667,2,3,27,17,10,10,10,0,1,10,2.455802434559592
58,157.08505423943149,0.5017241379310345,0,2,27,19,10,10,10,0,1,12,3.277255519280516
62,177.08066673943148,0.5016129032258064,5,1,32,20,10,10,10,0,2,16,4.106501216120716
63,174.4609490136311,0.5015873015873016,2,1,34,21,10,10,10,0,0,16,3.6550857373755963
59,168.97459329878578,0.5016949152542373,2,6,36,27,10,10,10,0,0,18,4.390033539044009
59,165.57207939128577,0.5033898305084746,2,2,38,29,10,10,10,0,1,14,3.4284886876730076
59,170.21415689128577,0.5033898305084745,3,3,41,32,10,10,10,0,2,16,3.383932204081406
58,172.84471172878577,0.503448275862069,3,4,44,36,10,10,10,0,2,14,2.8491294000000003
53,157.17074146203578,0.5037735849056604,0,5,44,41,10,10,10,0,2,16,3.6818112339937503
53,157.49826689724483,0.5037735849056604,2,2,46,43,10,10,10,0,0,14,2.5628344203386892
49,167.25963773027493,0.5061224489795918,3,7,49,50,10,10,10,0,2,12,0.7412479281352335
50,171.74402523027493,0.508,3,2,52,52,10,10,10,0,1,10,2.042936366859375
48,162.8550757467408,0.50625,1,3,53,55,10,10,10,0,0,12,2.761342065139125
46,156.99969262861651,0.5076086956521738,1,3,54,58,10,10,10,0,2,12,2.8741283950978787
45,149.74531754949152,0.5077777777777778,0,1,54,59,10,10,10,0,1,14,1.9463283930100967
46,161.86376216089278,0.508695652173913,3,2,57,61,10,10,10,0,2,14,1.42143093889875
46,164.661494761182,0.5065217391304347,2,2,59,63,10,10,10,0,1,14,1.3205522825088751
41,154.72749672644235,0.5073170731707317,0,5,59,68,10,10,10,0,0,16,1.2857686799592376
39,156.91247310769234,0.5064102564102564,2,4,61,72,10,10,10,0,1,16,1.9391972668940625
36,150.56619810769234,0.5069444444444444,0,3,61,75,10,10,10,0,2,16,0.9655806512844375
35,146.56619810769234,0.5071428571428571,0,1,61,76,10,10,10,0,0,12,1.3541055362782717
34,149.70558560769234,0.5029411764705882,1,2,62,78,10,10,10,0,2,18,3.5479745037325303
33,152.15603435769233,0.503030303030303,1,2,63,80,10,10,10,0,3,18,1.4067858930815627
31,147.65778310769235,0.5032258064516129,0,2,63,82,10,10,10,0,2,18,3.7713694494362677
29,144.62488698269235,0.503448275862069,0,2,63,84,10,10,10,0,1,12,1.85497062440625
30,147.78805573269233,0.5033333333333333,1,0,64,84,10,10,10,0,1,18,3.74794274686905
31,155.40116823269233,0.5032258064516129,2,1,66,85,10,10,10,0,0,16,1.324623073278375
31,154.39383767644233,0.5032258064516129,1,1,67,86,10,10,10,0,1,16,1.0553539280880375
28,147.01673554456733,0.5035714285714286,0,3,67,89,10,10,10,0,0,16,1.505100634378819
29,157.40242664632245,0.5051724137931035,3,2,70,91,10,10,10,0,0,14,1.513336219595486
29,155.07515981629126,0.506896551724138,1,1,71,92,10,10,10,0,5,16,1.8662007737157522
31,160.89004548100846,0.5064516129032258,3,1,74,93,10,10,10,0,3,16,2.0179275299595654
28,155.40633617225393,0.5071428571428571,1,4,75,97,10,10,10,0,1,18,2.213010713543526
28,146.56686082225391,0.5107142857142857,0,0,75,97,10,10,10,0,1,18,2.462791296524918
25,142.93686082225392,0.512,0,3,75,100,10,10,10,0,1,18,4.198359862280454
27,156.89849572327805,0.5092592592592593,3,1,78,101,10,10,10,0,0,16,0.9274551904934621
30,165.86396713419975,0.5083333333333333,3,0,81,101,10,10,10,0,1,16,1.9966297429159854
32,163.43646713419977,0.5078125,2,0,83,101,10,10,10,0,1,14,3.262530850452268
34,165.50357100919976,0.5088235294117647,3,1,86,102,10,10,10,0,1,12,0.980523530730148
35,162.61236968599243,0.5114285714285713,2,1,88,103,10,10,10,0,1,18,1.6485208002259668
35,156.19886515825382,0.5114285714285713,1,1,89,104,10,10,10,0,2,16,2.2159761613793085
33,147.13286653827765,0.5121212121212121,0,2,89,106,10,10,10,0,2,18,1.256099611708428
32,143.7522275576291,0.5125,0,1,89,107,10,10,10,2,1,20,1.3978995014648548
