Population,Total_Wealth,Avg_Skill,Births,Deaths,Births_Cumul,Deaths_Cumul,Healer_Count,Toolmaker_Count,Trader_Count,Successful_Healings,Tools_Produced,Trades_Executed,Wealth_Traded
52,424.37026795795936,0.5,2,0,2,0,10,10,10,0,1,8,4.0755
55,454.9702679579593,0.5,3,0,5,0,10,10,10,0,1,10,4.92576825
58,486.9702679579593,0.5017241379310345,3,0,8,0,10,10,10,2,3,12,6.162422175000001
61,517.6323281420399,0.5016393442622951,3,0,11,0,10,10,10,0,1,16,8.756321468305623
60,530.6046691957133,0.5016666666666667,0,1,11,1,10,10,10,0,0,8,3.0528675577059503
61,549.189903833,0.5016393442622951,2,1,13,2,10,10,10,0,0,12,4.146184708310355
61,562.5415722279675,0.5016393442622951,2,2,15,4,10,10,10,0,1,12,5.135433353224701
59,562.9023089055813,0.5016949152542373,0,2,15,6,10,10,10,0,3,10,3.882106688868336
62,589.6507759817247,0.5016129032258064,5,2,20,8,10,10,10,0,0,10,4.70467847549889
66,627.4349161652664,0.5037878787878788,4,0,24,8,10,10,10,2,1,14,7.862300522674811
65,637.9939493550405,0.5038461538461538,0,1,24,9,10,10,10,0,0,16,6.944847425539877
61,621.5454019757633,0.5040983606557377,0,4,24,13,10,10,10,2,2,12,3.5796325458644307
63,646.340730215227,0.5055555555555555,2,0,26,13,10,10,10,0,1,16,6.772015542027988
61,646.0105868153712,0.5057377049180327,0,2,26,15,10,10,10,0,2,18,8.164259944663854
64,676.5695625168765,0.50625,3,0,29,15,10,10,10,0,0,16,4.726463907332916
66,705.2927704728608,0.5068181818181817,2,0,31,15,10,10,10,0,0,16,6.43140505979548
69,732.5832863084271,0.5065217391304349,4,1,35,16,10,10,10,0,0,18,9.644335231188808
70,757.6424303629705,0.5078571428571428,1,0,36,16,10,10,10,2,3,18,9.076038236742168
72,786.4691101120954,0.5090277777777779,2,0,38,16,10,10,10,0,2,16,9.540971149613512
71,796.8662573250126,0.5091549295774649,0,1,38,17,10,10,10,2,2,14,7.840162383172551
71,810.1049581866215,0.5105633802816901,1,1,39,18,10,10,10,0,2,18,7.7714202647428685
74,841.1604095329775,0.5114864864864864,3,0,42,18,10,10,10,0,0,18,4.939900233685845
74,860.635252577238,0.5141891891891891,0,0,42,18,10,10,10,0,2,18,5.734141360498104
71,851.6034391817051,0.5147887323943662,0,3,42,21,10,10,10,0,1,18,5.172698742719131
70,857.6806335751106,0.5178571428571428,0,1,42,22,10,10,10,0,4,18,7.8468009021210445
70,876.3849034105748,0.5178571428571428,0,0,42,22,10,10,10,2,1,18,9.222802191404444
71,895.2621749453714,0.5204225352112676,3,2,45,24,10,10,10,0,4,20,12.44248204379901
70,907.8751879424984,0.5235714285714285,0,1,45,25,10,10,10,0,2,16,11.579245019830765
71,934.5140074225403,0.5246478873239435,1,0,46,25,10,10,10,0,4,16,8.659393667278241
69,938.2497187471887,0.5268115942028985,0,2,46,27,10,10,10,2,2,18,8.990988179974494
69,945.8747090705518,0.5318840579710145,2,2,48,29,10,10,10,0,2,16,9.789744425595101
69,957.1636976344528,0.5362318840579711,2,2,50,31,10,10,10,0,5,18,9.075798061557403
69,969.0589534122541,0.5376811594202898,2,2,52,33,10,10,10,0,3,18,11.330372724978918
65,948.5096703884163,0.5376923076923077,0,4,52,37,10,10,10,0,3,18,8.219044918991585
62,928.2103449551283,0.5403225806451613,1,4,53,41,10,10,10,0,2,20,8.498187298294534
58,862.0672812543617,0.5362068965517242,3,7,56,48,10,10,10,2,2,18,9.0810143964679
58,871.468040302441,0.5357758620689655,2,2,58,50,10,10,10,0,0,18,6.791683576939231
58,888.6153907615238,0.5357758620689655,0,0,58,50,10,10,10,0,2,18,9.824600402824709
61,914.9775135034181,0.5377049180327869,4,1,62,51,10,10,10,0,1,18,10.602882237053972
61,918.6608427903814,0.5409836065573771,2,2,64,53,10,10,10,0,2,18,14.453861400296809
61,932.6032621827122,0.542622950819672,2,2,66,55,10,10,10,0,0,18,12.660322235611087
61,916.3379119378153,0.5368852459016393,2,2,68,57,10,10,10,2,1,18,14.261157073856001
62,942.1684128799646,0.5362903225806451,1,0,69,57,10,10,10,0,1,16,9.658565399149333
62,948.8987917543026,0.5370967741935483,2,2,71,59,10,10,10,2,1,16,8.747253690524522
63,975.9375537900921,0.5384920634920635,1,0,72,59,10,10,10,0,3,18,10.546420322234027
66,1013.1465040138289,0.5378787878787877,3,0,75,59,10,10,10,0,1,18,10.138990001543833
65,1024.919301130644,0.54,0,1,75,60,10,10,10,0,2,18,7.853678864991747
65,1022.1567844262578,0.5338461538461539,2,2,77,62,10,10,10,0,0,18,7.115981132157773
65,1045.9403550958461,0.5338461538461539,1,1,78,63,10,10,10,0,2,18,10.866976506443136
65,1067.396099174894,0.5338461538461539,1,1,79,64,10,10,10,0,1,20,12.397985939834623
